College Name,Subject,Topics Covered
IIT MADRAS,INTRODUCTION TO PROGRAMMING,"(4 Modules), Historical Perspective, Pseudo-Code And Flowcharts. Memory, Variables, Values, Instructions, Programs. 2, Constants, Expressions, Operators, Declarations, Input-Output Statements"
IIT MADRAS,DISCRETE MATHEMATICS FOR COMPUTER SCIENCE,"Sets And Sequences, Power Set, Cardinality Of Finite Sets, Cartesian Product, Properties Of Sets, Truth Tables, Deduction, Resolution, Predicates And Quantifiers, Mathematical Proofs. Infinite Sets, Equivalence Relations. Functions, Sum And Product Rule"
IIT MADRAS,"LANGUAGES, MACHINES AND COMPUTATION","Regular Languages. Closure Properties, Limitations, Pumping Lemma, Myhill-Nerode Relations, Cfls, Regular Grammars, Chomsky Normal Form, Pumping Lemma For Cfls, Cock-Younger-Kasami Algorithm, Configurations, Dexter C. Kozen, Springer Publishers"
IIT MADRAS,COMPUTER ORGANIZATION AND ARCHITECTURE,"Paging, Interrupt Service, Task Switching, Branch Prediction, Pipelined Arithmetic Units, Caches, William Stallings, Ninth Edition, Pearson Education Series, Fifth Edition, Morgan Kaufmann, Pre- Requisites Cs2300"
IIT MADRAS,DESIGN AND ANALYSIS OF ALGORITHMS,"Big-Oh, Theta, Big-Omega, Incremental Sorting, Interpolating Polynomials), Decremental Design (E.G., Factorial), And Pruning (E.G., Repeated Substitution, Recall Representation Of Graphs, Connected Components, Topological Sorting Of Dags"
IIT MADRAS,PATTERN RECOGNITION AND MACHINE LEARNING,"Of Linear Algebra, Probability And Optimization, Vectors, Inner Product, Outer Product, Inverse Of A Matrix, Eigenanalysis, Singular Value Decomposition, Independence Of Events, Bayes Theorem, Unconstrained Optimization, Linear Models For Regression"
IIT MADRAS,COMPUTABILITY AND COMPLEXITY,"Computability, Review Of Turing Machines, View Of Pdas, Dfas, Time As A Resource, Baker-Gill-Solovoy Theorem. Space Complexity, Completeness Results. Savitch'S Theorem"
IIT MADRAS,LINEAR ALGEBRA AND RANDOM PROCESSES,"Linear Algebra, Basic Topics, Fields, Vector Spaces, Basis, Subspaces. (1 Week) Matrices, Matrices And Linear Transformations, Rank, Inverse, Eigenvalues, Eigenvectors, Singular Values"
IIT MADRAS,LOGIC AND COMBINATORICS FOR COMPUTER SCIENCE,"Relations, Propositional Logic, Examples, Inference Rules, Proof Techniques And Examples, Countable And Uncountable Sets, Cantor’S Diagonalization. (3+1) Undecidability, Turing Machines, Principle Of Inclusion Exclusion, Proving Combinatorial Identities, Combinatorial Arguments, Permutations"
IIT MADRAS,NATURAL LANGUAGE PROCESSING,"Why Nlp Is Hard, Why Nlp Is Useful, Classical Problems. Words, Structure (Spellcheck, Morphology Using Fsts). Words, Distributional Measures Of Similarity, Semantics (Word Sense Disambiguation, Supervised, Classical Parsing (Bottom Up, Top Down, Dynamic Programming, Cyk Parser) Sentences"
IIT MADRAS,CONCEPTS IN STATISTICAL LEARNING THEORY,"The Learning Problem, Risk Functions, Well-Posed And Ill-Posed Problems, Tikhonov Regularization, Manifold Regularization, Structured Sparsity Based Regularization, Subset Selection Methods, Shrinkage Methods, Ridge Regression, Lasso, Group Lasso, Rkhss"
IIT MADRAS,COMPUTER ARCHITECTURE,"Defining Computer Architecture, Flynnâ€™S Classification Of Computers, Memory Technology And Optimizations, Case Study, And Challenges, Dynamic Scheduling, Limitations Of Ilp, Multithreading, Shared-Memory Multicore Systems, Cache Coherence Protocols, Synchronization, Memory Consistency"
IIT MADRAS,PATTERN RECOGNITION,"Of Probability, Probability, Independence Of Events, Conditional And Joint Probability, Bayes Theorem Random Processes, Stationary And Non-Stationary Processes, Expectation, Autocorrelation, Cross-Correlation, Spectra. Linear Algebra, Inner Product, Outer Product"
IIT MADRAS,ALGORITHMIC ALGEBRA,"Fields, Ideals, Ideal Membership Problem, Grobner Bases, Cantor Zassenhaus Algorithm, Zassenhaus Algorithm. Lattices, Applications To Primality Testing, Aks Primality Test"
IIT MADRAS,PROGRAM ANALYSIS,"Basic Dataflow Analysis, Iterative Worklist Based, Dead-Code Elimination, Reaching Definitions, Monotone Frameworks, Confluence Operators, Mfp/Mop Solution, Analysis Dimensions, Flow- Sensitivity, Context-Sensitivity, Field-Sensitivity, Path-Sensitivity. Pointer Analysis"
IIT MADRAS,PSEUDORANDOMNESS,"Probabilistic Method, Chebyshev'S Inequality, Basic Codes And Constructions, Algebraic (Unique) Decoding, Algebraic (List) Decoding, Applications In Algorithms, Data Structures, Even Suboptimal Ones, Derandomization And Property Testing."
